,dtypes,rowcount,val_percent,nan,nan_percent,nunique,values
Unnamed: 0,int64,4209872,100.0,0,0.0,4209872,
ID,int64,4209872,100.0,0,0.0,4209872,
Country,object,4209872,100.0,0,0.0,2,"DE(2570994), FR(1638878)"
VFN,object,4209872,99.56,18568,0.44,3414,
Mp,object,4209872,95.45,191718,4.55,10,"VOLKSWAGEN(1162207), STELLANTIS(812218), RENAULT-NISSAN-MITSUBISHI(631732), BMW(321048), MERCEDES-BENZ(297849), MAZDA-SUBARU-SUZUKI-TOYOTA(204672), FORD(172226), HYUNDAI MOTOR EUROPE(156287), TESLA-HONDA-JLR(133876), KIA(126039)"
Mh,object,4209872,100.0,0,0.0,84,
Man,object,4209872,100.0,0,0.0,83,
MMS,float64,4209872,0.0,4209872,100.0,0,
Tan,object,4209872,99.56,18714,0.44,2529,
T,object,4209872,99.98,1007,0.02,1114,
Va,object,4209872,99.69,12945,0.31,3275,
Ve,object,4209872,99.57,17943,0.43,17305,
Mk,object,4209872,99.99,402,0.01,155,
Cn,object,4209872,99.99,357,0.01,2009,
Ct,object,4209872,100.0,0,0.0,5,"M1(4036015), M1G(173833), N1(20), N1G(2), N2(2)"
Cr,object,4209872,100.0,0,0.0,2,"M1(4036157), M1G(173715)"
r,int64,4209872,100.0,0,0.0,1,1(4209872)
m (kg),float64,4209872,100.0,1,0.0,1735,
Mt,float64,4209872,99.57,18004,0.43,2118,
Enedc (g/km),float64,4209872,18.34,3437743,81.66,25,
Ewltp (g/km),float64,4209872,99.85,6365,0.15,379,
W (mm),float64,4209872,99.59,17279,0.41,325,
At1 (mm),float64,4209872,99.59,17230,0.41,293,
At2 (mm),float64,4209872,99.59,17232,0.41,299,
Ft,object,4209872,100.0,0,0.0,10,"PETROL(2085488), DIESEL(853223), ELECTRIC(680316), PETROL/ELECTRIC(466864), LPG(61879), E85(35908), DIESEL/ELECTRIC(23209), NG(1967), HYDROGEN(1011), NG-BIOMETHANE(7)"
Fm,object,4209872,100.0,0,0.0,6,"M(2150723), H(814716), E(680316), P(490073), B(61886), F(12158)"
ec (cm3),float64,4209872,83.82,681332,16.18,187,
ep (KW),float64,4209872,99.99,484,0.01,350,
z (Wh/km),float64,4209872,27.47,3053393,72.53,245,
IT,object,4209872,62.76,1567889,37.24,97,
Ernedc (g/km),float64,4209872,0.0,4209872,100.0,0,
Erwltp (g/km),float64,4209872,62.76,1567894,37.24,174,
De,float64,4209872,0.0,4209872,100.0,0,
Vf,float64,4209872,0.0,4209872,100.0,0,
Status,object,4209872,100.0,0,0.0,1,P(4209872)
year,int64,4209872,100.0,0,0.0,1,2022(4209872)
Date of registration,object,4209872,100.0,0,0.0,365,
Fuel consumption ,float64,4209872,83.06,712992,16.94,169,
Electric range (km),float64,4209872,15.94,3538988,84.06,573,
